2017-06-04 19:22:12,896 - WARNING - Nodename: titan-lab3
2017-06-04 19:22:12,896 - WARNING - Parameters: BATCH_SIZE: 16, NN_IMAGE_SIZE: 512, BASE_CHANNELS: 12
2017-06-04 19:22:12,897 - WARNING - Augmentation: horizontal and vertical flips
2017-06-04 19:22:12,897 - WARNING - Checkpoint file: checkpoints/2017-06-04_17:22.ckpt
2017-06-04 19:22:15,972 - INFO - Start training
2017-06-04 19:22:19,334 - INFO - ====== START OF EPOCH 0 ======
2017-06-04 19:22:22,147 - DEBUG - Step 0: mean_loss(20): 2.360599994659424 mean_loss(200): 2.360599994659424
2017-06-04 19:22:30,925 - DEBUG - Step 10: mean_loss(20): 1.6677699089050293 mean_loss(200): 1.6677699089050293
2017-06-04 19:22:39,968 - DEBUG - Step 20: mean_loss(20): 1.3429570198059082 mean_loss(200): 1.391416311264038
2017-06-04 19:22:48,966 - DEBUG - Step 30: mean_loss(20): 0.912674605846405 mean_loss(200): 1.1806116104125977
2017-06-04 19:22:57,992 - DEBUG - Step 40: mean_loss(20): 0.6605964303016663 mean_loss(200): 1.0349187850952148
2017-06-04 19:23:07,015 - DEBUG - Step 50: mean_loss(20): 0.5231572389602661 mean_loss(200): 0.9227864146232605
2017-06-04 19:23:16,060 - DEBUG - Step 60: mean_loss(20): 0.44268327951431274 mean_loss(200): 0.8407431840896606
2017-06-04 19:23:25,162 - DEBUG - Step 70: mean_loss(20): 0.40504875779151917 mean_loss(200): 0.7769446969032288
2017-06-04 19:23:34,280 - DEBUG - Step 80: mean_loss(20): 0.38710838556289673 mean_loss(200): 0.7287346124649048
2017-06-04 19:23:43,334 - DEBUG - Step 90: mean_loss(20): 0.3790956139564514 mean_loss(200): 0.689505398273468
2017-06-04 19:23:52,353 - DEBUG - Step 100: mean_loss(20): 0.3627990782260895 mean_loss(200): 0.6562722325325012
2017-06-04 19:24:01,416 - DEBUG - Step 110: mean_loss(20): 0.33859163522720337 mean_loss(200): 0.6262776851654053
2017-06-04 19:24:10,509 - DEBUG - Step 120: mean_loss(20): 0.3343350291252136 mean_loss(200): 0.6030593514442444
2017-06-04 19:24:19,602 - DEBUG - Step 130: mean_loss(20): 0.3351718485355377 mean_loss(200): 0.581834077835083
